,Open,High,Low,Close,Volume,TradingDate
118,78249.0,78401.0,77409.0,77943.0,1917700,2021-11-22
119,78019.0,81073.0,78019.0,81073.0,2972100,2021-11-23
120,81836.0,82447.0,80768.0,81226.0,2981500,2021-11-24
121,81684.0,83821.0,81455.0,83211.0,4256200,2021-11-25
122,83363.0,86188.0,83287.0,84508.0,5239300,2021-11-26
123,81989.0,84508.0,81989.0,84127.0,3468700,2021-11-29
124,84737.0,85424.0,82524.0,83974.0,4574900,2021-11-30
125,84737.0,87791.0,84356.0,87028.0,3838200,2021-12-01
126,88554.0,89165.0,86341.0,87257.0,4444600,2021-12-02
127,88936.0,88936.0,84508.0,84737.0,5174600,2021-12-03
128,83974.0,86570.0,83211.0,84737.0,5882400,2021-12-06
129,84890.0,86188.0,83974.0,85959.0,3348700,2021-12-07
130,86264.0,87028.0,85119.0,86951.0,3467000,2021-12-08
131,87028.0,88402.0,86646.0,87791.0,5716900,2021-12-09
132,88173.0,88325.0,86264.0,86264.0,2890300,2021-12-10
133,86264.0,87028.0,84737.0,85577.0,4328000,2021-12-13
134,84890.0,87104.0,84814.0,86341.0,5114500,2021-12-14
135,86341.0,87791.0,85501.0,87791.0,3435200,2021-12-15
136,88402.0,89318.0,87028.0,87791.0,4674800,2021-12-16
137,87867.0,89089.0,86951.0,87944.0,4684800,2021-12-17
138,87715.0,88173.0,86951.0,88020.0,2891900,2021-12-20
139,88020.0,89318.0,87333.0,89012.0,3944800,2021-12-21
140,89318.0,90005.0,87409.0,89089.0,5141500,2021-12-22
141,88554.0,89700.0,85119.0,86264.0,6151100,2021-12-23
142,89800.0,89800.0,87000.0,88900.0,3490400,2021-12-24
143,88900.0,89900.0,87800.0,89000.0,1044900,2021-12-27
144,89400.0,89400.0,87000.0,87000.0,1816700,2021-12-28
145,87100.0,87800.0,85100.0,87000.0,1950300,2021-12-29
146,87000.0,87200.0,85700.0,86300.0,1482900,2021-12-30
147,86300.0,91000.0,86100.0,91000.0,2914100,2021-12-31
148,90500.0,90500.0,88500.0,89000.0,2536200,2022-01-04
149,89000.0,89100.0,87800.0,89100.0,2391300,2022-01-05
150,88500.0,90000.0,87800.0,88200.0,2428400,2022-01-06
151,88200.0,88600.0,86400.0,86400.0,3022700,2022-01-07
152,86400.0,88000.0,83900.0,83900.0,2916500,2022-01-10
153,83900.0,85000.0,82300.0,84500.0,2675600,2022-01-11
154,83600.0,84500.0,82400.0,83800.0,2055700,2022-01-12
155,84000.0,84000.0,82200.0,83500.0,2558200,2022-01-13
156,82100.0,83500.0,81700.0,82000.0,3070800,2022-01-14
157,82000.0,83000.0,78800.0,80000.0,2767000,2022-01-17
158,80000.0,80100.0,79100.0,80100.0,2687600,2022-01-18
159,79500.0,80000.0,78100.0,80000.0,2391700,2022-01-19
160,79500.0,80200.0,78300.0,80200.0,3504400,2022-01-20
161,80200.0,80200.0,78600.0,80000.0,2613100,2022-01-21
162,78500.0,80000.0,78100.0,78100.0,2844300,2022-01-24
163,78200.0,79800.0,77800.0,79000.0,1729300,2022-01-25
164,79700.0,79700.0,78300.0,79400.0,1630700,2022-01-26
165,79200.0,80000.0,78500.0,79000.0,2236000,2022-01-27
166,79500.0,79900.0,78600.0,79900.0,1554600,2022-01-28
167,79500.0,82000.0,79500.0,80000.0,1993900,2022-02-07
168,80000.0,80000.0,79100.0,79200.0,2143700,2022-02-08
169,79700.0,79800.0,78300.0,79000.0,2658700,2022-02-09
170,79100.0,79100.0,78000.0,78500.0,2961900,2022-02-10
171,78500.0,78500.0,77700.0,78100.0,1978900,2022-02-11
172,78000.0,78400.0,76700.0,78000.0,2814400,2022-02-14
173,78000.0,79600.0,77500.0,79000.0,2724200,2022-02-15
174,79900.0,79900.0,77800.0,78100.0,2680400,2022-02-16
175,78200.0,79000.0,77300.0,79000.0,3864700,2022-02-17
176,78200.0,78800.0,77600.0,78500.0,3218300,2022-02-18
177,78500.0,78600.0,78000.0,78500.0,2583200,2022-02-21
178,77500.0,78500.0,77400.0,78100.0,2974200,2022-02-22
179,78000.0,78100.0,77400.0,77400.0,2354600,2022-02-23
180,77400.0,77400.0,75800.0,76000.0,2726800,2022-02-24
181,76500.0,76500.0,74400.0,76300.0,3718400,2022-02-25
182,76500.0,76600.0,75000.0,75300.0,2855200,2022-02-28
183,75300.0,76000.0,74800.0,75400.0,3281200,2022-03-01
184,75300.0,77800.0,75200.0,76400.0,3730500,2022-03-02
185,76700.0,78000.0,76200.0,78000.0,2968500,2022-03-03
186,78900.0,79000.0,77000.0,77000.0,3890200,2022-03-04
187,76500.0,76900.0,75500.0,76000.0,4004500,2022-03-07
188,75600.0,76400.0,75100.0,76000.0,3460700,2022-03-08
189,76400.0,76800.0,75500.0,76500.0,3224400,2022-03-09
190,77000.0,79500.0,76400.0,77000.0,5405900,2022-03-10
191,78000.0,78400.0,76500.0,77200.0,3420600,2022-03-11
192,76700.0,77400.0,75400.0,76500.0,4530400,2022-03-14
193,75800.0,77200.0,75500.0,76600.0,3973700,2022-03-15
194,76900.0,78400.0,76200.0,77400.0,3574200,2022-03-16
195,77400.0,78500.0,76500.0,76600.0,3602100,2022-03-17
196,76800.0,77100.0,75200.0,77100.0,5003700,2022-03-18
197,77300.0,82400.0,76600.0,82400.0,7255400,2022-03-21
198,85000.0,86700.0,83500.0,84100.0,7102700,2022-03-22
199,85500.0,85700.0,83300.0,83800.0,7524300,2022-03-23
200,84000.0,84500.0,82400.0,82800.0,7178100,2022-03-24
201,82800.0,85300.0,82800.0,83600.0,5584600,2022-03-25
202,83500.0,83500.0,82200.0,82500.0,6222900,2022-03-28
203,82500.0,83300.0,82100.0,82500.0,4145300,2022-03-29
204,82400.0,82500.0,79800.0,80000.0,6164300,2022-03-30
205,80000.0,81000.0,79900.0,80100.0,2626900,2022-03-31
206,80100.0,82600.0,78700.0,82600.0,4868100,2022-04-01
207,82800.0,87600.0,82600.0,86500.0,6134300,2022-04-04
208,85800.0,88000.0,84600.0,87700.0,5672500,2022-04-05
209,88200.0,88300.0,84800.0,86300.0,6803500,2022-04-06
210,85700.0,86000.0,84200.0,84600.0,5536200,2022-04-07
211,83800.0,86400.0,83700.0,85400.0,6060900,2022-04-08
212,85500.0,86400.0,84700.0,85000.0,3935300,2022-04-12
213,85700.0,87800.0,84400.0,86500.0,5928200,2022-04-13
214,86500.0,87800.0,84000.0,85000.0,6662400,2022-04-14
215,84200.0,85100.0,84100.0,84100.0,2741000,2022-04-15
216,83000.0,83500.0,81700.0,82200.0,3329400,2022-04-18
217,82500.0,82800.0,81600.0,82000.0,3030000,2022-04-19
